id,question,expected_keywords,source_file
Q01,Xiaomi 14 的屏幕尺寸是多少,6.36,xiaomi-14.md
Q02,Xiaomi 14 支持多少瓦有线快充,90W,xiaomi-14.md
Q03,Xiaomi 14 的电池容量是多少,4610mAh,xiaomi-14.md
Q04,T12 最大吸力是多少,3500Pa,robot-vacuum-t12.md
Q05,T12 标准模式能清扫多久,130分钟,robot-vacuum-t12.md
Q06,T12 使用什么导航方式,LDS|激光导航,robot-vacuum-t12.md
Q07,T12 的型号是什么,B106GL,robot-vacuum-t12-specs.md
Q08,T12 的额定功率是多少,45W,robot-vacuum-t12-specs.md
Q09,T12 的净重是多少,4.8kg,robot-vacuum-t12-specs.md
Q10,X20 最大吸力是多少,5000Pa,robot-vacuum-x20.md
Q11,X20 尘盒容量是多少,430mL,robot-vacuum-x20.md
Q12,X20 电池容量是多少,5200mAh,robot-vacuum-x20.md
Q13,X10 最大吸力是多少,4000Pa,robot-vacuum-x10.md
Q14,X10 最长清扫时间是多少,180分钟,robot-vacuum-x10.md
Q15,X10 水箱容量是多少,200mL,robot-vacuum-x10.md
Q16,X20 Pro 最大吸力是多少,7000Pa,robot-vacuum-x20-pro.md
Q17,X20 Pro 清水箱容量是多少,4L,robot-vacuum-x20-pro.md
Q18,X20 Pro 污水箱容量是多少,3.8L,robot-vacuum-x20-pro.md
Q19,Robot Vacuum 5 最大吸力是多少,20000Pa,robot-vacuum-5.md
Q20,Robot Vacuum 5 最低可进入多高的空间,9.5cm,robot-vacuum-5.md
Q21,Robot Vacuum 5 能连续清扫多久,140分钟,robot-vacuum-5.md
Q22,Smart Band 7 屏幕尺寸是多少,1.62英寸,smart-band-7.md
Q23,Smart Band 7 防水等级是多少,5ATM,smart-band-7.md
Q24,Smart Band 7 典型续航多久,14天,smart-band-7.md
Q25,Smart Band 9 峰值亮度是多少,1200尼特,smart-band-9.md
Q26,Smart Band 9 典型续航多久,21天,smart-band-9.md
Q27,Smart Band 9 支持最低哪个 Android 版本,Android 8.0,smart-band-9.md
Q28,Smart Band 10 屏幕尺寸是多少,1.72英寸,smart-band-10.md
Q29,Smart Band 10 支持多少运动模式,150+,smart-band-10.md
Q30,Smart Band 10 的屏占比是多少,73%,smart-band-10.md
Q031,根据小米官方资料，请介绍售后服务。,售后服务,service-center-01.md
Q032,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-center-01.md
Q033,根据小米官方资料，请介绍售后服务。,售后服务,service-policy-01.md
Q034,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-policy-01.md
Q035,根据小米官方资料，请介绍售后服务。,售后服务,service-index-01.md
Q036,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-index-01.md
Q037,根据小米官方资料，请介绍售后服务。,售后服务,service-exchange-01.md
Q038,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-exchange-01.md
Q039,根据小米官方资料，请介绍售后服务。,售后服务,service-pricing-01.md
Q040,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-pricing-01.md
Q041,根据小米官方资料，请介绍售后服务。,售后服务,service-help-01.md
Q042,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-help-01.md
Q043,根据小米官方资料，请介绍小米手机。,小米手机,service-phone-01.md
Q044,小米手机有哪些核心规格、功能或服务说明？,小米手机,service-phone-01.md
Q045,根据小米官方资料，请介绍售后服务。,售后服务,service-online-01.md
Q046,售后服务有哪些核心规格、功能或服务说明？,售后服务,service-online-01.md
Q047,根据小米官方资料，请介绍小米手机。,小米手机,service-damage-01.md
Q048,小米手机有哪些核心规格、功能或服务说明？,小米手机,service-damage-01.md
Q049,根据小米官方资料，请介绍小米手机。,小米手机,phone-rom-failure-01.md
Q050,小米手机有哪些核心规格、功能或服务说明？,小米手机,phone-rom-failure-01.md
Q051,根据小米官方资料，请介绍REDMI K80。,REDMI K80,redmi-k80-01.md
Q052,REDMI K80有哪些核心规格、功能或服务说明？,REDMI K80,redmi-k80-01.md
Q053,根据小米官方资料，请介绍REDMI K80。,REDMI K80,redmi-k80-specs-01.md
Q054,REDMI K80有哪些核心规格、功能或服务说明？,REDMI K80,redmi-k80-specs-01.md
Q055,根据小米官方资料，请介绍REDMI K80 Pro。,REDMI K80 Pro,redmi-k80-pro-specs-01.md
Q056,REDMI K80 Pro有哪些核心规格、功能或服务说明？,REDMI K80 Pro,redmi-k80-pro-specs-01.md
Q057,根据小米官方资料，请介绍Xiaomi 15。,Xiaomi 15,xiaomi-15-custom-01.md
Q058,Xiaomi 15有哪些核心规格、功能或服务说明？,Xiaomi 15,xiaomi-15-custom-01.md
