"所属EPIC","Story名称","描述"
"EP01｜知识库与文档管理","创建知识库","用户故事：作为知识运营人员，我希望创建独立知识库，以便分类管理不同产品和业务资料。
功能描述：支持填写知识库名称、描述、负责人及默认 Embedding 模型，并为每个知识库建立隔离的向量存储空间。
验收标准：1. 名称为必填且不可重复；2. 创建成功后出现在知识库列表；3. 自动生成独立存储标识；4. 缺少必填字段时返回明确提示。"
"EP01｜知识库与文档管理","查看和筛选知识库列表","用户故事：作为知识运营人员，我希望查看并筛选知识库，以便快速定位需要维护的内容。
功能描述：列表展示名称、描述、文档数量、创建时间、负责人和状态，并支持按名称和状态筛选。
验收标准：1. 列表字段完整；2. 名称模糊搜索结果正确；3. 状态筛选正确；4. 无数据时显示空状态而非报错。"
"EP01｜知识库与文档管理","上传多格式产品文档","用户故事：作为知识运营人员，我希望上传多种格式的小米产品资料，以便构建客服知识库。
功能描述：支持 PDF、DOCX、TXT、MD 文件上传，显示上传进度、文件大小和处理状态。
验收标准：1. 四种格式均能成功上传；2. 不支持的格式被拒绝；3. 单文件大小受配置限制；4. 上传失败时显示可理解的错误原因。"
"EP01｜知识库与文档管理","解析和清洗文档内容","用户故事：作为知识运营人员，我希望系统自动解析和清洗文档，以便获得可用于检索的规范文本。
功能描述：提取正文和基本标题结构，清理乱码、重复空白、页眉页脚及无效字符。
验收标准：1. 可提取样本文档主要正文；2. 清洗后无明显乱码；3. 保留文档来源元数据；4. 解析失败时状态标记为失败并记录原因。"
"EP01｜知识库与文档管理","配置和预览文本切分","用户故事：作为知识运营人员，我希望配置并预览文本切分结果，以便优化知识检索效果。
功能描述：支持配置 chunk_size 和 chunk_overlap，并展示切分块内容、序号及来源位置。
验收标准：1. 参数修改后切分结果同步更新；2. 每个文本块包含 chunk_id 和来源；3. 参数超出允许范围时阻止保存；4. 预览内容与解析正文一致。"
"EP01｜知识库与文档管理","生成和重建文档向量","用户故事：作为知识运营人员，我希望自动生成或重新生成文档向量，以便更新检索索引。
功能描述：文档处理完成后调用 Embedding 模型批量生成向量，并支持手动重建及进度显示。
验收标准：1. 文档入库后自动生成向量；2. 可手动触发重建；3. 重建不会产生重复向量；4. 失败任务可查看原因并重试。"
"EP01｜知识库与文档管理","删除文档及关联向量","用户故事：作为知识运营人员，我希望删除失效文档，以便避免机器人引用过期内容。
功能描述：删除文档元数据、原始文件和该文档对应的所有向量，并在执行前二次确认。
验收标准：1. 删除前弹出确认；2. 删除后列表不再显示；3. 相关向量全部移除；4. 后续问答不再引用已删除文档。"
"EP02｜RAG智能问答","基于知识库进行单轮问答","用户故事：作为小米用户，我希望用自然语言询问产品问题，以便快速获得准确答案。
功能描述：系统检索相关文本块，并基于检索内容生成简洁、结构化的中文答案。
验收标准：1. 30 个标准问题的正确率不低于 80%；2. 回答与知识库内容一致；3. 支持中文自然语言输入；4. 正常请求返回 answer、message_id 和 conversation_id。"
"EP02｜RAG智能问答","支持多轮上下文对话","用户故事：作为小米用户，我希望机器人理解连续追问，以便不必重复描述产品和问题。
功能描述：通过 conversation_id 保存最近对话上下文，支持代词指代和基于上一轮答案继续追问。
验收标准：1. 同一会话至少保留最近 10 轮；2. 能理解“它、这个型号”等追问；3. 不同 conversation_id 的上下文相互隔离；4. 用户可清空会话。"
"EP02｜RAG智能问答","显示答案来源引用","用户故事：作为小米用户，我希望查看答案依据，以便判断回答是否可信。
功能描述：问答响应返回 sources 列表，每项包含来源文件或 URL、原文片段及可选页码。
验收标准：1. 有效知识问答至少返回一个来源；2. 来源片段确实参与答案生成；3. 前端可查看引用片段；4. 来源不可访问时仍显示文件名和片段。"
"EP02｜RAG智能问答","低置信度兜底回答","用户故事：作为小米用户，我希望系统在不知道答案时如实说明，以免收到误导信息。
功能描述：当无检索结果或最高得分低于阈值时，返回预设兜底话术，并建议换种问法或转人工。
验收标准：1. 无结果时不调用普通答案生成链；2. 回复明确说明未找到依据；3. 不生成产品参数或政策事实；4. 连续两次兜底可触发转人工建议。"
"EP02｜RAG智能问答","配置检索参数","用户故事：作为管理员，我希望调整 top_k、相似度阈值和上下文轮数，以便优化问答效果。
功能描述：提供基础参数配置页面或配置文件，保存后应用于新请求。
验收标准：1. 支持配置 top_k、阈值和最大轮数；2. 参数有合法范围校验；3. 修改后新会话生效；4. 配置变更记录时间和操作人。"
"EP02｜RAG智能问答","统一聊天接口兼容流式返回","用户故事：作为前端开发者，我希望通过统一接口获得流式答案，以便实现连贯的聊天体验。
功能描述：提供 /chat/completions 接口，接收消息、conversation_id 和 stream 参数，流式返回答案片段。
验收标准：1. stream=false 返回完整 JSON；2. stream=true 逐段返回内容；3. 流结束时返回 sources；4. 非法参数和超时均返回统一错误结构。"
"EP03｜对话机器人前端","实现聊天主页面","用户故事：作为小米用户，我希望在简洁的聊天页面提问，以便快速使用智能客服。
功能描述：页面包含消息列表、输入框、发送按钮、加载状态、清空会话和欢迎提示。
验收标准：1. 可以发送问题并显示回答；2. 发送期间有明确状态；3. 空问题不能提交；4. 清空后消息和当前上下文均被清除。"
"EP03｜对话机器人前端","逐段展示流式答案","用户故事：作为小米用户，我希望答案边生成边显示，以便减少等待感。
功能描述：前端接收流式数据包，按顺序追加文本，并支持停止生成。
验收标准：1. 文本按服务端顺序显示；2. 首个片段到达后立即渲染；3. 用户可停止当前生成；4. 连接中断时保留已显示内容并提示重试。"
"EP03｜对话机器人前端","渲染Markdown答案","用户故事：作为小米用户，我希望答案以清晰格式展示，以便快速阅读步骤和参数。
功能描述：支持标题、列表、加粗、链接和代码块等 Markdown 内容，并防止危险脚本执行。
验收标准：1. 常用 Markdown 正确渲染；2. 长文本自动换行；3. HTML 脚本不会执行；4. 代码块和列表不破坏页面布局。"
"EP03｜对话机器人前端","展示和打开引用来源","用户故事：作为小米用户，我希望点击来源查看引用内容，以便核验答案。
功能描述：在答案下方展示来源卡片，包含文件名、页码或 URL 和引用摘要。
验收标准：1. 来源卡片与对应答案绑定；2. 可展开查看片段；3. URL 来源可在新窗口打开；4. 无来源的兜底答案不显示空卡片。"
"EP03｜对话机器人前端","展示异常和空状态","用户故事：作为小米用户，我希望系统发生错误时得到明确提示，以便决定重试或调整问题。
功能描述：统一展示超时、网络失败、无权限、无检索结果和服务器异常状态。
验收标准：1. 五类异常均有用户可理解的提示；2. 提供重试入口；3. 页面不会白屏；4. 错误详情不会泄露密钥和服务器路径。"
"EP04｜业务工具与工单","识别对话意图并路由","用户故事：作为小米用户，我希望系统自动判断我的需求，以便获得匹配的处理方式。
功能描述：路由至少识别 knowledge_query、tool_use 和 general_chat，并分发到知识问答、业务工具或普通对话链。
验收标准：1. 三类标准样例识别正确率不低于 80%；2. 路由结果写入日志；3. 路由过程对用户透明；4. 无法判断时默认进入安全问答或澄清流程。"
